ZTE,ZTE Blade L8,2019,514.68,4.6
Samsung,Samsung Exhibit II 4G T679,2011,758.43,6.7
Motorola,Motorola ROKR E2,2006,392.3,5.5
Nokia,Nokia 8800 Sirocco,2006,839.87,6.4
Samsung,Samsung S3110,2009,460.77,6.5
Allview,Allview X4 Soul Mini S,2017,624.09,6.6
Siemens,Siemens C28,2000,385.39,4.7
LG,LG Joy,2015,1348.01,5.8
BLU,BLU Tattoo Mini,2011,686.27,5.7
BLU,BLU C5 2019,2019,419.05,5.6
Oppo,Oppo F5 Youth,2017,1098.45,4.7
Nokia,Nokia N8,2010,1547.22,5.7
Motorola,Motorola ROKR W6,2009,948.3,7.0
Sony,Sony Xperia X Ultra,2020,831.17,5.5
Lenovo,Lenovo IdeaTab S6000H,2013,1003.82,6.4
Karbonn,Karbonn Titanium S99,2014,811.92,4.5
Sharp,Sharp GX22,2003,1198.62,5.3
Celkon,Celkon C17,2012,375.24,6.5
Samsung,Samsung Mesmerize i500,2010,882.22,6.0
Samsung,Samsung Galaxy S20 5G,2020,799.26,4.8
Yezz,Yezz Andy 5E2I,2015,1688.1,5.9
LG,LG GT550 Encore,2010,1288.79,6.9
NIU,NIU Tek 4D2,2014,1687.61,7.0
Samsung,Samsung E3210,2011,1021.25,5.9
Siemens,Siemens AX72,2005,1115.66,6.6
i-mate,i-mate JAMA 101,2020,340.18,6.4
Spice,Spice Mi-451 3G,2014,467.25,6.1
Philips,Philips Xenium X300,2008,560.2,5.2
Motorola,Motorola Moto E4 Plus (USA),2017,1216.38,6.2
i-mobile,i-mobile 522,2008,453.38,5.5
Motorola,Motorola Moto M,2016,1356.44,5.1
Vodafone,Vodafone Smart N9 lite,2018,516.39,4.6
Plum,Plum Coach Plus II,2014,642.91,5.2
Motorola,Motorola M3788,1999,1396.21,5.3
Ericsson,Ericsson GO 118,1995,593.35,5.0
Samsung,Samsung :) Smiley,2010,835.37,4.6
Energizer,Energizer E280s,2021,407.79,6.5
Samsung,Samsung I8520 Galaxy Beam,2010,877.15,6.8
alcatel,alcatel 3T 10,2019,1460.96,6.8
Sony,Sony Ericsson Xperia X10,2010,754.88,5.4
Samsung,Samsung Galaxy Note 4 Duos,2014,531.63,5.2
alcatel,alcatel Fire C,2014,661.52,6.9
BlackBerry,BlackBerry 7730,2004,1459.05,6.7
Oppo,Oppo Reno4 5G,2020,575.82,6.2
Oppo,Oppo A5 (AX5),2018,782.6,5.9
HP,HP iPAQ hw6515,2005,1250.44,4.9
Wiko,Wiko Ridge Fab 4G,2015,1168.69,6.5
Huawei,Huawei Fusion U8652,2012,1138.18,4.9
Wiko,Wiko Tommy3 Plus,2019,1284.6,4.5
Motorola,Motorola C336,2002,1257.89,5.0
Nokia,Nokia 5070,2007,1236.89,6.0
Yezz,Yezz GO 1,2020,1139.35,5.2
LG,LG T375 Cookie Smart,2012,848.44,5.8
BLU,BLU C4,2018,1545.51,5.4
Asus,Asus Zenfone Go ZB551KL,2016,334.41,7.0
Sony,Sony Ericsson Z610,2006,1204.01,5.7
Samsung,Samsung Rex 60 C3312R,2013,1462.27,6.3
LG,LG G Stylo,2015,1040.92,6.4
LG,LG P520,2010,852.68,4.6
verykool,verykool R620,2011,1203.65,6.8
Siemens,Siemens M35i,2000,1428.54,7.0
LG,LG Univa E510,2020,1195.0,5.2
Samsung,Samsung E2350B,2012,729.46,6.9
Nokia,Nokia 6230,2003,1056.58,4.5
LG,LG Enlighten VS700,2011,1505.07,6.9
Honor,Honor 20 lite,2019,1540.69,5.4
XOLO,XOLO Q2100,2014,632.95,6.9
alcatel,alcatel OT-112,2011,1627.45,6.9
Yezz,Yezz Epic T,2018,743.69,5.1
Posh,Posh Memo Pro LTE L600,2016,312.66,5.4
Micromax,Micromax Canvas Turbo,2013,1266.77,5.8
Apple,Apple iPad 3 Wi-Fi + Cellular,2012,470.81,4.6
Motorola,Motorola Moto E Dual SIM,2014,837.02,6.3
alcatel,alcatel Idol 2,2014,1383.65,5.1
alcatel,alcatel OT-890D,2011,901.03,6.8
Samsung,Samsung Galaxy Tab 3 V,2015,615.53,6.6
Gionee,Gionee Elife E3,2013,434.83,6.4
Plum,Plum Stubby II,2011,649.97,4.9
Celkon,Celkon C220,2011,551.02,6.9
Sharp,Sharp Aquos S2,2017,679.21,5.7
HTC,HTC Desire 601 dual sim,2013,855.29,6.7
Celkon,Celkon C63,2013,1056.0,5.6
Samsung,Samsung Galaxy S6 active,2015,1236.04,4.6
Motorola,Motorola V290,2003,370.34,5.0
alcatel,alcatel OT-C560,2006,904.75,5.4
Sony,Sony Xperia tipo dual,2012,1276.58,6.8
Motorola,Motorola A732,2005,978.62,6.0
Lava,Lava Iris Atom 2X,2015,750.67,6.7
Nokia,Nokia Asha 502 Dual SIM,2013,1559.59,6.2
LG,LG Optimus L3 II E430,2013,1088.01,4.7
Philips,Philips Xenium X713,2011,578.15,5.6
HTC,HTC Desire 820,2014,1215.99,4.6
Samsung,Samsung E230,2007,625.88,5.5
Samsung,Samsung Galaxy J5 Prime,2017,673.85,6.7
Ulefone,Ulefone Armor 5S,2019,1411.4,6.9
Samsung,Samsung Galaxy J7 V,2017,1678.02,6.7
Samsung,Samsung P400,2003,802.32,6.0
vivo,vivo Z3,2018,1444.34,6.7
LG,LG G5 SE,2016,500.1,6.0
Samsung,Samsung Galaxy Tab 3 7.0 WiFi,2013,1065.56,5.7
Nokia,Nokia 105 Dual SIM,2015,1498.66,5.2
Motorola,Motorola A1800,2009,1029.48,6.5
LG,LG L342i,2005,1332.5,6.0
Samsung,Samsung Galaxy C9 Pro,2016,736.12,6.6
Asus,Asus Zenfone Go ZC451TG,2015,612.71,5.4
Gionee,Gionee K30 Pro,2020,1324.25,4.6
verykool,verykool s3501 Lynx,2014,1269.77,6.1
vivo,vivo iQOO Z1x,2020,530.15,5.2
Motorola,Motorola One Fusion+,2020,693.71,4.6
Xiaomi,Xiaomi Redmi 6A,2018,1545.59,6.0
